Country,Pct_Renewable,Renewable GWh,Hydro,Wind,Solar,Biofuel,Geoth
Ethiopia,100%,15817.0,94.5%,5.2%,0.2%,0.1%,0%
Bhutan,100%,10823.0,100%,0%,0%,0%,0%
Albania,100%,8963.0,99.5%,0%,0.5%,0%,0%
South Georgia and the South Sandwich Islands,100%,0.8,98.7%,1.3%,0%,0%,0%
Nepal,100%,8107.0,98.7%,0%,1.2%,0.1%,0%
Paraguay,100%,40848.0,99.3%,0%,0%,0.7%,0%
Iceland,100%,19617.0,70.4%,0.03%,0.03%,0%,29.6%
Costa Rica,100%,12656.0,73.4%,12.4%,0.8%,0.7%,12.7%
Lesotho,99.8%,532.0,99.6%,0%,0.1%,0%,0%
Eswatini,99.8%,460.0,56.1%,0%,0.3%,43.4%,0%
Norway,99.1%,156507.0,91.4%,7.5%,0.1%,0.02%,0%
DR Congo,99.0%,11921.0,98.8%,0%,0.2%,0.1%,0%
Uganda,97.8%,4749.0,88.2%,0%,2.9%,6.8%,0%
Central African Republic,96.5%,142.0,96.2%,0%,0.3%,0%,0%
Andorra,93.3%,97.0,75.9%,0%,1.2%,0%,0%
Belize,92.9%,437.0,33.4%,0.01%,2.1%,57.4%,0%
Tajikistan,92.8%,19348.0,92.8%,0%,0%,0%,0%
Zambia,92.0%,16310.0,90.7%,0%,0.9%,0.4%,0%
Tokelau,91.7%,1.2,0%,0%,91.7%,0%,0%
Namibia,90.7%,1333.0,59.5%,1.5%,29.7%,0.01%,0%
