country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Brazil,1941,42575027.0,70802128896.0,6.281,5.76,0.0,0.143,0.378,81.049
Brazil,1942,43657003.0,68221296640.0,5.867,5.445,0.004,0.048,0.37,83.351
Brazil,1943,44817135.0,77735960576.0,6.475,5.962,0.011,0.132,0.37,85.681
Brazil,1944,46008096.0,80576684032.0,5.896,5.408,0.007,0.081,0.4,87.998
Brazil,1945,47230706.0,82817277952.0,6.823,6.375,0.004,0.062,0.382,90.545
Brazil,1946,48485805.0,91503345664.0,7.46,6.892,0.018,0.143,0.407,93.113
Brazil,1947,49774257.0,94744731648.0,8.947,8.427,0.004,0.066,0.451,95.712
Brazil,1948,51096948.0,103940636672.0,7.847,7.233,0.007,0.059,0.549,98.295
Brazil,1949,52489682.0,111894872064.0,7.367,6.68,0.011,0.044,0.632,100.91
Brazil,1950,53408551.0,119498719232.0,19.659,6.383,0.004,12.579,0.687,104.165
Brazil,1951,55018849.0,125334814720.0,21.659,6.276,0.004,14.645,0.72,107.706
Brazil,1952,56694871.0,134544285696.0,24.934,6.008,0.004,18.108,0.799,111.442
Brazil,1953,58433756.0,140888047616.0,25.218,5.62,0.007,18.537,1.003,115.194
Brazil,1954,60235123.0,151832723456.0,29.676,5.752,0.015,22.549,1.236,119.173
Brazil,1955,62101394.0,165244239872.0,34.024,5.862,0.015,26.656,1.37,123.246
Brazil,1956,64033997.0,170024681472.0,36.608,5.071,0.018,29.737,1.617,127.37
Brazil,1957,66031498.0,183084417024.0,35.974,5.027,0.033,29.056,1.679,131.5
Brazil,1958,68092148.0,202937286656.0,39.054,3.95,0.066,32.855,1.872,135.896
Brazil,1959,70214470.0,222726635520.0,39.017,4.107,0.092,32.474,1.897,140.356
Brazil,1960,72388123.0,243618988032.0,46.852,4.965,0.114,39.018,2.21,145.247
Brazil,1961,74605442.0,264690925568.0,49.136,4.679,0.114,41.472,2.321,152.764
Brazil,1962,76865320.0,282182189056.0,53.613,5.668,0.11,44.826,2.489,158.097
Brazil,1963,79164239.0,283741028352.0,55.523,5.419,0.165,46.91,2.534,164.352
Brazil,1964,81488598.0,293385633792.0,56.626,6.17,0.161,46.999,2.74,170.76
Brazil,1965,83817586.0,300547047424.0,56.279,6.944,0.194,45.766,2.726,177.377
Brazil,1966,86139354.0,320583729152.0,64.162,8.365,0.245,51.857,2.922,182.073
Brazil,1967,88446120.0,334149091328.0,66.033,8.123,0.256,53.725,3.085,187.941
Brazil,1968,90741242.0,366804795392.0,77.224,8.533,0.231,63.978,3.493,194.029
Brazil,1969,93045769.0,401601724416.0,84.088,9.416,0.234,69.422,3.741,200.653
Brazil,1970,95375656.0,443496726528.0,93.488,8.904,0.154,78.255,4.288,208.503
Brazil,1971,97739280.0,493683376128.0,102.337,8.984,0.249,87.053,4.669,213.432
Brazil,1972,100146796.0,552789540864.0,114.019,9.373,0.275,97.726,5.422,225.027
Brazil,1973,102600971.0,629980135424.0,132.061,9.01,0.377,115.365,6.382,230.438
Brazil,1974,105089675.0,681263693824.0,143.016,9.541,0.692,124.836,7.107,243.725
Brazil,1975,107619568.0,716641599488.0,150.327,11.062,0.78,129.706,7.973,254.565
Brazil,1976,110213352.0,790037659648.0,154.607,11.52,0.916,132.208,9.121,272.424
Brazil,1977,112875286.0,828975480832.0,162.363,15.055,1.132,135.293,10.062,280.262
Brazil,1978,115600942.0,870261981184.0,177.117,17.708,1.484,145.469,11.438,284.135
Brazil,1979,118380820.0,929101316096.0,187.787,18.463,1.63,154.526,12.014,294.051
Brazil,1980,121207450.0,1014791995392.0,186.191,19.987,1.883,150.21,12.803,318.079
Brazil,1981,124063113.0,971272355840.0,171.324,19.723,1.685,135.528,12.64,321.949
Brazil,1982,126923156.0,978935414784.0,171.5,21.552,2.382,133.194,12.244,329.012
Brazil,1983,129790082.0,950507864064.0,165.9,23.926,3.378,125.74,9.803,332.477
Brazil,1984,132658862.0,1001891233792.0,167.567,28.997,4.17,122.062,8.737,345.85
Brazil,1985,135515593.0,1080097308672.0,180.111,34.871,4.994,127.517,9.281,350.484
Brazil,1986,138336371.0,1160963031040.0,197.238,35.123,5.987,142.376,11.122,361.891
Brazil,1987,141104946.0,1201712922624.0,205.968,40.234,6.639,145.541,11.299,374.399
Brazil,1988,143826358.0,1200534716416.0,207.695,39.776,6.841,147.652,11.125,382.026
Brazil,1989,146502977.0,1238775496704.0,212.071,39.93,7.306,151.58,11.141,393.506
Brazil,1990,149143224.0,1185475198976.0,218.658,37.095,7.484,151.775,11.062,391.925
Brazil,1991,151724253.0,1213090103296.0,229.394,42.466,7.336,156.7,11.776,400.744
Brazil,1992,154275077.0,1221828542464.0,233.601,41.203,7.983,163.252,9.77,407.344
Brazil,1993,156794574.0,1298220843008.0,244.306,42.343,8.73,171.252,10.164,410.981
Brazil,1994,159265011.0,1391783968768.0,254.002,43.667,8.985,179.162,10.086,420.674
Brazil,1995,161735079.0,1468835168256.0,268.678,45.582,9.603,190.347,11.528,427.42
Brazil,1996,164202549.0,1520364945408.0,289.311,46.468,10.608,206.281,13.884,417.847
Brazil,1997,166661663.0,1591956078592.0,306.949,47.044,11.863,219.833,15.267,427.563
Brazil,1998,169159651.0,1617675812864.0,317.359,45.591,12.411,229.578,16.175,436.628
Brazil,1999,171641544.0,1645888012288.0,327.256,46.805,14.069,235.468,16.439,443.736
Brazil,2000,174018276.0,1739727962112.0,340.183,50.46,18.442,239.488,16.047,451.66
Brazil,2001,176301200.0,1785513115648.0,346.166,49.427,23.186,241.795,15.227,464.504
Brazil,2002,178503483.0,1861742362624.0,347.765,48.689,29.293,239.219,14.39,486.977
Brazil,2003,180622688.0,1904932683776.0,344.645,51.933,30.919,232.434,13.096,509.06
Brazil,2004,182675143.0,2038447996928.0,361.434,53.833,38.215,239.768,13.273,533.211
